Condition;File;Line number
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;52
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;55
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;56
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;57
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;59
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;60
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;63
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;64
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;65
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;66
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;67
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;68
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;69
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;70
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;71
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;72
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;73
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;75
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;76
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;77
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;78
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;79
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;81
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;82
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;83
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;84
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;90
