Experiment;Condition;Run;Sequence;Time
exp1c;control-customactionselection;23;5;3021345
exp1c;control-customactionselection;23;6;2975193
exp1c;control-customactionselection;23;7;2865059
exp1c;control-customactionselection;23;8;2875263
exp1c;control-customactionselection;23;9;2628961
exp1c;control-customactionselection;23;10;2855888
exp1c;plain;6;1;364112
exp1c;plain;6;2;160730
exp1c;plain;6;3;369290
exp1c;plain;6;4;366933
exp1c;plain;6;5;356294
exp1c;plain;6;6;361828
exp1c;plain;6;7;371223
exp1c;plain;6;8;370512
exp1c;plain;6;9;356052
exp1c;plain;6;10;365695
exp1c;control-defaultactionselection;18;1;2639467
exp1c;control-defaultactionselection;18;2;2918016
exp1c;control-defaultactionselection;18;3;3546483
exp1c;control-defaultactionselection;18;4;3515933
exp1c;control-defaultactionselection;18;5;3459942
exp1c;control-defaultactionselection;18;6;3409975
exp1c;control-defaultactionselection;18;7;3429979
exp1c;control-defaultactionselection;18;8;3303812
exp1c;control-defaultactionselection;18;9;3652329
exp1c;control-defaultactionselection;18;10;3525377
exp1c;control-defaultactionselection;4;1;3503216
exp1c;control-defaultactionselection;4;2;2857661
exp1c;control-defaultactionselection;4;3;1441052
exp1c;control-defaultactionselection;4;4;3427029
exp1c;control-defaultactionselection;4;5;3297229
exp1c;control-defaultactionselection;4;6;3330475
exp1c;control-defaultactionselection;4;7;3265847
exp1c;control-defaultactionselection;4;8;3297539
exp1c;control-defaultactionselection;4;9;3376633
exp1c;control-defaultactionselection;4;10;2889982
exp1c;control-defaultactionselection;14;1;3404399
exp1c;control-defaultactionselection;14;2;2932645
exp1c;control-defaultactionselection;14;3;3268673
exp1c;control-defaultactionselection;14;4;3250888
exp1c;control-defaultactionselection;14;5;3364668
exp1c;control-defaultactionselection;14;6;2975436
exp1c;control-defaultactionselection;14;7;3525687
exp1c;control-defaultactionselection;14;8;3389518
exp1c;control-defaultactionselection;14;9;2800096
exp1c;control-defaultactionselection;14;10;3000588
exp1c;experimental;2;1;3271233
exp1c;experimental;2;2;2881331
exp1c;experimental;2;3;2935203
exp1c;experimental;2;4;3411036
exp1c;experimental;2;5;5185189
exp1c;experimental;2;6;1026300
exp1c;experimental;2;7;4304694
exp1c;experimental;2;8;4244061
exp1c;experimental;2;9;3712096
exp1c;experimental;2;10;4986565
exp1c;control-customactionselection;3;1;2896979
exp1c;control-customactionselection;3;2;2826088
exp1c;control-customactionselection;3;3;3055099
exp1c;control-customactionselection;3;4;2554636
exp1c;control-customactionselection;3;5;2772435
exp1c;control-customactionselection;3;6;2841894
exp1c;control-customactionselection;3;7;2868135
exp1c;control-customactionselection;3;8;2496710
exp1c;control-customactionselection;3;9;2865532
exp1c;control-customactionselection;3;10;2528990
exp1c;plain;24;1;373306
exp1c;plain;24;2;361547
exp1c;plain;24;3;366259
exp1c;plain;24;4;340967
exp1c;plain;24;5;355279
exp1c;plain;24;6;340768
