Experiment;Condition;Run;Sequence;Total;Application
exp1c;control-customactionselection;5;0;9070;6729
exp1c;control-customactionselection;5;9;12542;10066
exp1c;control-customactionselection;5;6;12114;9638
exp1c;control-customactionselection;5;1;9935;7517
exp1c;control-customactionselection;5;7;12372;9896
exp1c;control-defaultactionselection;6;8;13938;10929
exp1c;control-defaultactionselection;6;2;12929;10151
exp1c;control-defaultactionselection;6;0;10161;7743
exp1c;control-defaultactionselection;6;6;13282;10504
exp1c;control-defaultactionselection;6;5;13282;10504
exp1c;control-defaultactionselection;6;9;14478;11469
exp1c;control-defaultactionselection;6;3;13016;10238
exp1c;control-defaultactionselection;6;7;13675;10666
exp1c;control-defaultactionselection;6;1;12749;9971
exp1c;control-defaultactionselection;6;4;13065;10287
exp1c;experimental;55;6;12309;9569
exp1c;experimental;55;9;12873;10050
exp1c;experimental;55;8;12482;9717
exp1c;experimental;55;7;12309;9569
exp1c;experimental;55;4;11948;9208
exp1c;experimental;55;1;10414;7975
exp1c;control-defaultactionselection;28;2;14417;11468
exp1c;control-defaultactionselection;28;9;15309;12360
exp1c;control-defaultactionselection;28;4;14594;11645
exp1c;control-defaultactionselection;28;5;14594;11645
exp1c;control-defaultactionselection;28;1;14332;11383
exp1c;control-defaultactionselection;28;3;14549;11600
exp1c;control-defaultactionselection;28;0;13247;10298
exp1c;control-defaultactionselection;28;8;14670;11721
exp1c;control-defaultactionselection;28;7;14644;11695
exp1c;control-defaultactionselection;28;6;14644;11695
exp1c;experimental;44;4;11264;8615
exp1c;experimental;44;8;12054;9405
exp1c;experimental;44;9;12097;9442
exp1c;experimental;44;1;9119;6701
exp1c;experimental;44;3;11264;8615
exp1c;experimental;44;0;8437;6096
exp1c;experimental;44;2;10615;7966
exp1c;experimental;44;7;11427;8778
exp1c;experimental;44;5;11264;8615
exp1c;experimental;32;1;10297;7648
exp1c;experimental;32;0;9860;7437
exp1c;experimental;32;5;11550;8895
exp1c;experimental;32;3;11475;8820
exp1c;experimental;32;6;12175;9512
exp1c;experimental;32;4;11475;8820
exp1c;experimental;15;7;1655;856
exp1c;experimental;15;6;11714;8878
exp1c;experimental;15;1;10069;7651
exp1c;experimental;15;2;10353;7935
exp1c;experimental;15;0;9685;7267
exp1c;experimental;15;5;11525;8810
exp1c;experimental;15;9;1655;856
exp1c;experimental;15;3;10949;8531
exp1c;experimental;15;8;1655;856
exp1c;experimental;15;4;11525;8810
exp1c;experimental;16;0;8525;6184
exp1c;experimental;16;5;12005;9064
exp1c;experimental;16;1;9879;7461
exp1c;experimental;16;4;10788;8364
exp1c;experimental;16;2;10278;7860
exp1c;experimental;16;6;12005;9064
exp1c;experimental;16;9;13188;10247
exp1c;experimental;16;3;10658;8240
exp1c;control-customactionselection;21;1;10093;7675
exp1c;control-customactionselection;21;6;10450;8032
exp1c;control-customactionselection;21;9;10833;8415
exp1c;control-customactionselection;21;4;10432;8014
exp1c;control-customactionselection;21;5;10432;8014
exp1c;control-customactionselection;21;3;10340;7922
exp1c;control-customactionselection;21;0;8329;5988
exp1c;control-customactionselection;21;2;10177;7759
exp1c;control-customactionselection;21;7;10450;8032
exp1c;control-customactionselection;21;8;10453;8035
exp1c;experimental;38;1;9693;7275
exp1c;experimental;38;5;10688;8039
exp1c;experimental;38;0;8431;6091
exp1c;experimental;38;8;11974;9309
exp1c;experimental;38;6;11164;8499
exp1c;experimental;38;2;10120;7702
exp1c;experimental;38;9;12517;9834
exp1c;experimental;38;4;10688;8039
exp1c;experimental;38;3;10293;7875
exp1c;experimental;56;8;12965;9903
exp1c;experimental;56;2;10941;8204
exp1c;experimental;56;4;11139;8402
exp1c;experimental;56;5;12475;9429
exp1c;experimental;56;0;10806;8163
exp1c;experimental;56;1;10921;8187
exp1c;experimental;56;3;10942;8205
exp1c;experimental;56;6;12734;9688
exp1c;experimental;56;7;12871;9825
exp1c;experimental;56;9;13338;10276
exp1c;control-customactionselection;19;2;10373;7955
exp1c;control-customactionselection;19;6;11210;8784
exp1c;control-customactionselection;19;5;10951;8525
exp1c;control-customactionselection;19;7;11605;8948
exp1c;control-customactionselection;19;4;10457;8039
exp1c;control-customactionselection;19;0;9080;6662
exp1c;control-customactionselection;19;8;11605;8948
exp1c;control-customactionselection;19;1;9460;7042
exp1c;control-customactionselection;19;9;11605;8948
exp1c;control-customactionselection;19;3;10373;7955
