Experiment;Condition;Run;Sequence;Result
exp1c;control-customactionselection;5;4;0
exp1c;control-customactionselection;5;5;0
exp1c;control-customactionselection;5;6;0
exp1c;control-customactionselection;5;7;0
exp1c;control-customactionselection;5;8;0
exp1c;control-customactionselection;5;9;0
exp1c;control-customactionselection;5;10;0
exp1c;plain;35;1;0
exp1c;plain;35;2;0
exp1c;plain;35;3;0
exp1c;plain;35;4;0
exp1c;plain;35;5;0
exp1c;plain;35;6;0
exp1c;plain;35;7;0
exp1c;plain;35;8;0
exp1c;plain;35;9;0
exp1c;plain;35;10;0
exp1c;control-defaultactionselection;6;1;0
exp1c;control-defaultactionselection;6;2;0
exp1c;control-defaultactionselection;6;3;0
exp1c;control-defaultactionselection;6;4;0
exp1c;control-defaultactionselection;6;5;0
exp1c;control-defaultactionselection;6;6;0
exp1c;control-defaultactionselection;6;7;0
exp1c;control-defaultactionselection;6;8;1
exp1c;control-defaultactionselection;6;9;0
exp1c;control-defaultactionselection;6;10;0
exp1c;experimental;55;1;1
exp1c;experimental;55;2;0
exp1c;experimental;55;3;1
exp1c;experimental;55;4;1
exp1c;experimental;55;5;0
exp1c;experimental;55;6;1
exp1c;experimental;55;7;0
exp1c;experimental;55;8;0
exp1c;experimental;55;9;0
exp1c;experimental;55;10;0
exp1c;control-defaultactionselection;28;1;0
exp1c;control-defaultactionselection;28;2;0
exp1c;control-defaultactionselection;28;3;0
exp1c;control-defaultactionselection;28;4;0
exp1c;control-defaultactionselection;28;5;0
exp1c;control-defaultactionselection;28;6;0
exp1c;control-defaultactionselection;28;7;0
exp1c;control-defaultactionselection;28;8;0
exp1c;control-defaultactionselection;28;9;0
exp1c;control-defaultactionselection;28;10;0
exp1c;experimental;44;1;0
exp1c;experimental;44;2;0
exp1c;experimental;44;3;1
exp1c;experimental;44;4;0
exp1c;experimental;44;5;0
exp1c;experimental;44;6;0
exp1c;experimental;44;7;0
exp1c;experimental;44;8;0
exp1c;experimental;44;9;0
exp1c;experimental;44;10;0
exp1c;plain;32;1;0
exp1c;plain;32;2;0
exp1c;plain;32;3;0
exp1c;plain;32;4;0
exp1c;plain;32;5;0
exp1c;plain;32;6;0
exp1c;plain;32;7;0
exp1c;plain;32;8;0
exp1c;plain;32;9;0
exp1c;plain;32;10;0
exp1c;experimental;32;1;0
exp1c;experimental;32;2;1
exp1c;experimental;32;3;1
exp1c;experimental;32;4;0
exp1c;experimental;32;5;0
exp1c;experimental;32;6;0
exp1c;experimental;32;7;0
exp1c;experimental;32;8;1
exp1c;experimental;32;9;1
exp1c;experimental;32;10;0
exp1c;plain;19;1;0
exp1c;plain;19;2;0
exp1c;plain;19;3;0
exp1c;plain;19;4;0
exp1c;plain;19;5;0
