Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-customactionselection;27;8;13813;9578
exp1i;control-customactionselection;27;5;13220;8986
exp1i;control-customactionselection;27;7;13530;9295
exp1i;control-customactionselection;27;3;13171;8937
exp1i;control-customactionselection;27;6;13529;9295
exp1i;control-customactionselection;27;4;13171;8937
exp1i;control-customactionselection;43;6;14190;9970
exp1i;control-customactionselection;43;1;13037;8928
exp1i;control-customactionselection;43;3;14036;9816
exp1i;control-customactionselection;43;9;14557;10322
exp1i;control-customactionselection;43;8;14274;10048
exp1i;control-customactionselection;43;4;14088;9868
exp1i;control-customactionselection;43;7;14190;9970
exp1i;control-customactionselection;43;5;14088;9868
exp1i;control-customactionselection;43;0;12025;7920
exp1i;control-customactionselection;43;2;13898;9678
exp1i;control-defaultactionselection;54;2;14714;10549
exp1i;control-defaultactionselection;54;9;15226;11053
exp1i;control-defaultactionselection;54;7;15177;11004
exp1i;control-defaultactionselection;54;5;14981;10808
exp1i;control-defaultactionselection;54;0;12450;8367
exp1i;control-defaultactionselection;54;1;13364;9254
exp1i;control-defaultactionselection;54;3;14820;10647
exp1i;control-defaultactionselection;54;4;14981;10808
exp1i;control-defaultactionselection;54;6;15051;10878
exp1i;control-defaultactionselection;54;8;15226;11053
exp1i;control-defaultactionselection;5;9;16373;12019
exp1i;control-defaultactionselection;5;1;14038;9921
exp1i;control-defaultactionselection;5;4;14442;10324
exp1i;control-defaultactionselection;5;3;14442;10324
exp1i;control-defaultactionselection;5;7;15053;10899
exp1i;control-defaultactionselection;5;5;14450;10330
exp1i;control-defaultactionselection;5;0;11920;7834
exp1i;control-defaultactionselection;5;8;15562;11376
exp1i;control-defaultactionselection;5;2;14442;10324
exp1i;control-defaultactionselection;5;6;14666;10546
exp1i;experimental;8;1;13560;9414
exp1i;experimental;8;9;15999;11703
exp1i;experimental;8;3;14640;10366
exp1i;experimental;8;4;15274;10978
exp1i;experimental;8;6;15986;11690
exp1i;experimental;8;8;15986;11690
exp1i;experimental;8;5;15404;11108
exp1i;experimental;8;7;15986;11690
exp1i;experimental;8;2;14573;10310
exp1i;experimental;8;0;10784;6808
exp1i;control-defaultactionselection;22;7;15696;11522
exp1i;control-defaultactionselection;22;8;15797;11623
exp1i;control-defaultactionselection;22;9;15905;11730
exp1i;control-defaultactionselection;22;4;15102;10928
exp1i;control-defaultactionselection;22;6;15102;10928
exp1i;control-defaultactionselection;22;2;13885;9740
exp1i;control-defaultactionselection;22;1;13809;9678
exp1i;control-defaultactionselection;22;0;13651;9520
exp1i;control-defaultactionselection;22;5;15102;10928
exp1i;control-defaultactionselection;22;3;14784;10610
exp1i;control-customactionselection;20;8;12461;8510
exp1i;control-customactionselection;20;3;1888;1150
exp1i;control-customactionselection;20;1;13267;9065
exp1i;control-customactionselection;20;7;11437;7490
exp1i;control-customactionselection;20;4;9788;6000
exp1i;control-customactionselection;20;6;9193;5572
exp1i;control-customactionselection;20;0;12216;8014
exp1i;control-customactionselection;20;9;13290;9068
exp1i;control-customactionselection;20;5;1871;1146
exp1i;control-customactionselection;20;2;13736;9520
exp1i;control-customactionselection;7;4;13578;9344
exp1i;control-customactionselection;7;5;13685;9442
exp1i;control-customactionselection;7;8;1893;1158
exp1i;control-customactionselection;7;9;11223;7314
exp1i;control-customactionselection;7;2;12471;8245
exp1i;control-customactionselection;7;3;13029;8803
exp1i;control-customactionselection;7;6;14171;9928
exp1i;control-customactionselection;7;7;14179;9936
exp1i;control-customactionselection;7;0;9214;5320
exp1i;control-customactionselection;7;1;12227;8001
exp1i;experimental;1;9;16097;11668
exp1i;experimental;1;8;16055;11626
exp1i;experimental;1;4;15244;10821
exp1i;experimental;1;2;14491;10099
exp1i;experimental;1;7;16002;11573
exp1i;experimental;1;0;10039;6053
exp1i;experimental;1;1;12007;7896
exp1i;experimental;1;5;15818;11389
exp1i;experimental;1;3;15140;10732
exp1i;experimental;1;6;16002;11573
exp1i;control-customactionselection;14;8;14510;10278
exp1i;control-customactionselection;14;4;13278;9165
exp1i;control-customactionselection;14;2;13278;9165
exp1i;control-customactionselection;14;5;13517;9402
exp1i;control-customactionselection;14;0;9403;5433
exp1i;control-customactionselection;14;9;14512;10280
exp1i;control-customactionselection;14;1;12687;8584
exp1i;control-customactionselection;14;3;13278;9165
exp1i;control-customactionselection;14;6;14225;10102
exp1i;control-customactionselection;14;7;14460;10228
exp1i;control-defaultactionselection;19;8;1900;1156
exp1i;control-defaultactionselection;19;9;1920;1192
exp1i;control-defaultactionselection;19;1;12976;8702
exp1i;control-defaultactionselection;19;7;10664;6740
exp1i;control-defaultactionselection;19;0;11760;7487
exp1i;control-defaultactionselection;19;5;1932;1199
exp1i;control-defaultactionselection;19;6;8681;4930
exp1i;control-defaultactionselection;19;2;1905;1206
exp1i;control-defaultactionselection;19;4;1927;1199
exp1i;control-defaultactionselection;19;3;1887;1150
exp1i;control-customactionselection;12;1;12133;8157
exp1i;control-customactionselection;12;5;13229;9113
exp1i;control-customactionselection;12;7;13723;9498
exp1i;control-customactionselection;12;3;13052;8936
exp1i;control-customactionselection;12;9;14897;10616
exp1i;control-customactionselection;12;0;11583;7607
exp1i;control-customactionselection;12;2;12891;8784
exp1i;control-customactionselection;12;4;13144;9028
exp1i;control-customactionselection;12;6;13545;9320
exp1i;control-customactionselection;12;8;13723;9498
exp1i;control-defaultactionselection;18;9;7890;4215
exp1i;control-defaultactionselection;18;5;1930;1197
exp1i;control-defaultactionselection;18;4;2629;1246
exp1i;control-defaultactionselection;18;0;10789;6684
exp1i;control-defaultactionselection;18;3;1952;1206
