Experiment;Condition;Run;Sequence;Time
exp1i;control-customactionselection;14;3;2163265
exp1i;control-customactionselection;14;4;2198508
exp1i;control-customactionselection;14;5;1615246
exp1i;control-customactionselection;14;6;1605988
exp1i;control-customactionselection;14;7;1695482
exp1i;control-customactionselection;14;8;2239452
exp1i;control-customactionselection;14;9;2431492
exp1i;control-customactionselection;14;10;2477030
exp1i;control-defaultactionselection;19;1;1691544
exp1i;control-defaultactionselection;19;2;1929666
exp1i;control-defaultactionselection;19;3;2217940
exp1i;control-defaultactionselection;19;4;2485463
exp1i;control-defaultactionselection;19;5;2357892
exp1i;control-defaultactionselection;19;6;2655391
exp1i;control-defaultactionselection;19;7;1524150
exp1i;control-defaultactionselection;19;8;1653248
exp1i;control-defaultactionselection;19;9;1963912
exp1i;control-defaultactionselection;19;10;2597396
exp1i;control-customactionselection;12;1;2253849
exp1i;control-customactionselection;12;2;2659101
exp1i;control-customactionselection;12;3;1504377
exp1i;control-customactionselection;12;4;1897071
exp1i;control-customactionselection;12;5;1819442
exp1i;control-customactionselection;12;6;1808590
exp1i;control-customactionselection;12;7;1752422
exp1i;control-customactionselection;12;8;2246096
exp1i;control-customactionselection;12;9;1403918
exp1i;control-customactionselection;12;10;1976699
exp1i;control-defaultactionselection;18;1;1648116
exp1i;control-defaultactionselection;18;2;6366095
exp1i;control-defaultactionselection;18;3;982693
exp1i;control-defaultactionselection;18;4;6645477
exp1i;control-defaultactionselection;18;5;987155
exp1i;control-defaultactionselection;18;6;3526728
exp1i;control-defaultactionselection;18;7;998800
exp1i;control-defaultactionselection;18;8;1461485
exp1i;control-defaultactionselection;18;9;1802831
exp1i;control-defaultactionselection;18;10;1441440
exp1i;control-customactionselection;29;1;1940215
exp1i;control-customactionselection;29;2;2380207
exp1i;control-customactionselection;29;3;2399252
exp1i;control-customactionselection;29;4;2549242
exp1i;control-customactionselection;29;5;2324430
exp1i;control-customactionselection;29;6;1503971
exp1i;control-customactionselection;29;7;2695382
exp1i;control-customactionselection;29;8;2275781
exp1i;control-customactionselection;29;9;4499079
exp1i;control-customactionselection;29;10;3764955
exp1i;control-customactionselection;22;1;2605140
exp1i;control-customactionselection;22;2;1948898
exp1i;control-customactionselection;22;3;2057850
exp1i;control-customactionselection;22;4;2560002
exp1i;control-customactionselection;22;5;2023186
exp1i;control-customactionselection;22;6;2147129
exp1i;control-customactionselection;22;7;2744985
exp1i;control-customactionselection;22;8;1014889
exp1i;control-customactionselection;22;9;2487808
exp1i;control-customactionselection;22;10;2219247
exp1i;plain;39;1;281439
exp1i;plain;39;2;413064
exp1i;plain;39;3;404924
exp1i;plain;39;4;406424
exp1i;plain;39;5;353797
exp1i;plain;39;6;389622
exp1i;plain;39;7;404809
exp1i;plain;39;8;414391
exp1i;plain;39;9;357198
exp1i;plain;39;10;377117
