Experiment;Condition;Run;Sequence;Result
exp1i;plain;16;9;0
exp1i;plain;16;10;0
exp1i;control-customactionselection;27;1;0
exp1i;control-customactionselection;27;2;0
exp1i;control-customactionselection;27;3;0
exp1i;control-customactionselection;27;4;0
exp1i;control-customactionselection;27;5;0
exp1i;control-customactionselection;27;6;0
exp1i;control-customactionselection;27;7;0
exp1i;control-customactionselection;27;8;0
exp1i;control-customactionselection;27;9;0
exp1i;control-customactionselection;27;10;0
exp1i;plain;10;1;0
exp1i;plain;10;2;0
exp1i;plain;10;3;0
exp1i;plain;10;4;0
exp1i;plain;10;5;0
exp1i;plain;10;6;0
exp1i;plain;10;7;0
exp1i;plain;10;8;0
exp1i;plain;10;9;0
exp1i;plain;10;10;0
exp1i;control-customactionselection;43;1;0
exp1i;control-customactionselection;43;2;0
exp1i;control-customactionselection;43;3;0
exp1i;control-customactionselection;43;4;0
exp1i;control-customactionselection;43;5;0
exp1i;control-customactionselection;43;6;0
exp1i;control-customactionselection;43;7;0
exp1i;control-customactionselection;43;8;0
exp1i;control-customactionselection;43;9;0
exp1i;control-customactionselection;43;10;0
exp1i;control-defaultactionselection;54;1;0
exp1i;control-defaultactionselection;54;2;0
exp1i;control-defaultactionselection;54;3;0
exp1i;control-defaultactionselection;54;4;0
exp1i;control-defaultactionselection;54;5;0
exp1i;control-defaultactionselection;54;6;0
exp1i;control-defaultactionselection;54;7;0
exp1i;control-defaultactionselection;54;8;0
exp1i;control-defaultactionselection;54;9;0
exp1i;control-defaultactionselection;54;10;0
exp1i;control-defaultactionselection;5;1;0
exp1i;control-defaultactionselection;5;2;0
exp1i;control-defaultactionselection;5;3;0
exp1i;control-defaultactionselection;5;4;0
exp1i;control-defaultactionselection;5;5;0
exp1i;control-defaultactionselection;5;6;0
exp1i;control-defaultactionselection;5;7;0
exp1i;control-defaultactionselection;5;8;0
exp1i;control-defaultactionselection;5;9;0
exp1i;control-defaultactionselection;5;10;0
exp1i;plain;48;1;0
exp1i;plain;48;2;0
exp1i;plain;48;3;0
exp1i;plain;48;4;0
exp1i;plain;48;5;0
exp1i;plain;48;6;0
